Elapsed time;CPU;GPU1;GPU2
13:36:50,0;;;0.0
13:36:51,0;17.0;87.0;0.0
13:36:52,0;8.0;;
13:36:53,0;;83.0;0.0
13:36:54,0;14.0;70.0;0.0
13:36:56,0;11.0;69.0;0.0
13:36:57,0;6.0;;
13:36:58,0;;71.0;0.0
13:36:59,0;12.0;76.0;0.0
13:37:00,0;6.0;;
13:37:01,0;;75.0;0.0
13:37:02,0;5.0;93.0;
13:37:03,0;;;0.0
13:37:04,0;10.0;73.0;0.0
13:37:05,0;4.0;;
13:37:06,0;;73.0;0.0
13:37:07,0;6.0;74.0;0.0
13:37:09,0;5.0;73.0;0.0
13:37:10,0;6.0;;
13:37:11,0;;74.0;0.0
13:37:12,0;6.0;92.0;
13:37:13,0;;;0.0
13:37:14,0;9.0;76.0;0.0
13:37:15,0;5.0;;
13:37:16,0;;72.0;0.0
13:37:17,0;6.0;70.0;0.0
13:37:18,0;4.0;;
13:37:19,0;;71.0;0.0
13:37:20,0;6.0;92.0;
13:37:21,0;;;0.0
13:37:22,0;11.0;93.0;0.0
13:37:24,0;7.0;75.0;0.0
13:37:25,0;4.0;71.0;
13:37:26,0;;;0.0
13:37:27,0;4.0;73.0;0.0
13:37:28,0;4.0;;
13:37:29,0;;72.0;0.0
13:37:30,0;5.0;77.0;0.0
13:37:32,0;5.0;72.0;0.0
13:37:33,0;5.0;;
13:37:34,0;;71.0;0.0
13:37:35,0;6.0;74.0;0.0
13:37:36,0;6.0;;
13:37:37,0;;94.0;0.0
13:37:38,0;5.0;94.0;0.0
13:37:40,0;15.0;74.0;0.0
13:37:41,0;5.0;75.0;
13:37:42,0;;;0.0
13:37:43,0;5.0;90.0;0.0
13:37:44,0;14.0;;
13:37:45,0;;95.0;0.0
13:37:46,0;5.0;87.0;0.0
13:37:48,0;9.0;86.0;0.0
13:37:49,0;18.0;73.0;
13:37:50,0;;;0.0
13:37:51,0;7.0;74.0;0.0
13:37:52,0;6.0;;
13:37:53,0;;49.0;0.0
13:37:54,0;11.0;83.0;0.0
13:37:56,0;6.0;92.0;0.0
13:37:57,0;13.0;73.0;
13:37:58,0;;;0.0
13:37:59,0;9.0;74.0;0.0
13:38:00,0;8.0;;
13:38:01,0;;93.0;0.0
13:38:02,0;5.0;74.0;0.0
13:38:03,0;6.0;;
13:38:04,0;;29.0;0.0
13:38:05,0;5.0;72.0;
13:38:06,0;;;0.0
13:38:07,0;9.0;86.0;0.0
13:38:08,0;5.0;;
13:38:09,0;;76.0;0.0
13:38:10,0;5.0;75.0;0.0
13:38:12,0;5.0;73.0;0.0
13:38:13,0;5.0;;
13:38:14,0;;86.0;0.0
13:38:15,0;5.0;76.0;0.0
13:38:17,0;37.0;71.0;0.0
13:38:18,0;6.0;;
13:38:19,0;;73.0;0.0
13:38:20,0;5.0;74.0;0.0
13:38:22,0;6.0;73.0;0.0
13:38:23,0;6.0;73.0;0.0
13:38:25,0;5.0;55.0;0.0
13:38:26,0;27.0;;
13:38:27,0;;82.0;0.0
13:38:28,0;43.0;;
13:38:29,0;;72.0;0.0
13:38:30,0;10.0;;
13:38:31,0;;83.0;0.0
13:38:32,0;21.0;86.0;
13:38:33,0;;;0.0
13:38:34,0;45.0;;
13:38:35,0;;91.0;
13:38:36,0;;;0.0
13:38:37,0;27.0;72.0;
13:38:38,0;;;0.0
13:38:39,0;27.0;;
13:38:40,0;;71.0;0.0
13:38:42,0;13.0;72.0;0.0
13:38:44,0;18.0;;
13:38:46,0;;67.0;
13:38:48,0;;;0.0
13:38:49,0;12.0;;
13:38:51,0;;93.0;
13:38:54,0;;;0.0
13:38:56,0;8.0;;
13:39:05,0;;72.0;
13:39:08,0;;;0.0
13:39:09,0;12.0;;
13:39:11,0;;86.0;
13:39:14,0;;;0.0
13:39:15,0;10.0;;
13:39:18,0;;75.0;
13:39:20,0;;;0.0
13:39:21,0;10.0;;
13:39:23,0;;87.0;
13:39:24,0;;;0.0
13:39:25,0;7.0;;
13:39:26,0;;73.0;
13:39:27,0;;;0.0
13:39:28,0;9.0;;
13:39:29,0;;72.0;
13:39:30,0;;;0.0
13:39:32,0;9.0;;
13:39:33,0;;74.0;
13:39:34,0;;;0.0
13:39:35,0;9.0;;
13:39:38,0;;73.0;
13:39:39,0;;;0.0
13:39:41,0;9.0;;
13:39:42,0;;72.0;0.0
13:39:44,0;8.0;73.0;
13:39:45,0;;;0.0
13:39:46,0;9.0;;
13:39:47,0;;73.0;
13:39:49,0;;;0.0
13:39:50,0;9.0;73.0;
13:39:51,0;;;0.0
13:39:52,0;8.0;;
13:39:53,0;;72.0;
13:39:54,0;;;0.0
13:39:55,0;8.0;;
13:39:56,0;;86.0;
13:39:57,0;;;0.0
13:39:58,0;8.0;71.0;
13:39:59,0;;;0.0
13:40:00,0;11.0;;
13:40:01,0;;84.0;0.0
13:40:03,0;8.0;84.0;
13:40:04,0;;;0.0
13:40:05,0;10.0;70.0;0.0
13:40:07,0;9.0;70.0;0.0
13:40:08,0;7.0;;
13:40:09,0;;68.0;0.0
13:40:10,0;7.0;;
13:40:11,0;;69.0;0.0
13:40:12,0;8.0;73.0;
13:40:13,0;;;0.0
13:40:14,0;7.0;89.0;0.0
13:40:15,0;8.0;;
13:40:16,0;;73.0;0.0
13:40:17,0;10.0;72.0;
13:40:18,0;;;0.0
13:40:19,0;10.0;73.0;0.0
13:40:21,0;7.0;72.0;0.0
13:40:22,0;10.0;74.0;0.0
13:40:24,0;8.0;84.0;0.0
13:40:25,0;8.0;;
13:40:26,0;;65.0;0.0
13:40:27,0;13.0;75.0;0.0
13:40:29,0;5.0;73.0;0.0
13:40:30,0;6.0;70.0;
13:40:31,0;;;0.0
13:40:32,0;6.0;71.0;0.0
13:40:33,0;6.0;;
13:40:34,0;;72.0;0.0
13:40:35,0;5.0;73.0;0.0
13:40:36,0;9.0;;
13:40:37,0;;72.0;0.0
