tool_name,nodes,users,Metric,mean_value,std_value
create_visualization,10,5,total_energy,0.0003390430932327,9.200887619140944e-05
decide_tool,10,5,cpu_energy,9.98220222690849e-06,2.516847209602773e-06
decide_tool,10,5,gpu_energy,7.636533357232695e-05,2.513187735805306e-05
decide_tool,10,5,ram_energy,2.3370657043682108e-05,6.164313343749966e-06
decide_tool,10,5,total_energy,0.0001097181928428,3.2133575599335657e-05
lookup_sales_data,10,5,cpu_energy,1.9957571636124567e-05,5.939634464227225e-06
lookup_sales_data,10,5,gpu_energy,0.0002392886453666,8.710171905293034e-05
lookup_sales_data,10,5,ram_energy,5.110062776168307e-05,1.4541207368209726e-05
lookup_sales_data,10,5,total_energy,0.0003103468447644,0.0001014105257114
analyzing_data,3,10,cpu_energy,4.917360295523026e-05,1.711943504607796e-05
analyzing_data,3,10,gpu_energy,0.0007388975109931,0.0003038025183306
analyzing_data,3,10,ram_energy,0.000116765729875,4.0235291940576806e-05
analyzing_data,3,10,total_energy,0.0009048368438234,0.0003600956834898
create_visualization,3,10,cpu_energy,3.834045837176581e-05,2.4622298262643617e-05
create_visualization,3,10,gpu_energy,0.0005402271624072,0.0004468027994326
create_visualization,3,10,ram_energy,9.171953331516286e-05,5.7098448880830605e-05
create_visualization,3,10,total_energy,0.0006702871540942,0.0005278531879934
decide_tool,3,10,cpu_energy,1.7659155286142064e-05,1.0813100098790017e-05
decide_tool,3,10,gpu_energy,0.000182773538259,0.0001727493782323
decide_tool,3,10,ram_energy,4.39662162079098e-05,2.650908627440941e-05
decide_tool,3,10,total_energy,0.000244398909753,0.0002065115147818
lookup_sales_data,3,10,cpu_energy,2.525889850615211e-05,1.258457294670644e-05
lookup_sales_data,3,10,gpu_energy,0.0002924468412196,0.0002112526282684
lookup_sales_data,3,10,ram_energy,6.32648998104004e-05,2.8574471055974685e-05
lookup_sales_data,3,10,total_energy,0.0003809706395361,0.0002476216649528
analyzing_data,5,10,cpu_energy,7.958581938240395e-05,4.52799139128526e-05
