Elapsed time;jp@gc - Ultimate Thread Group
03:00:56,700;16.0
03:00:57,100;16.0
03:01:20,500;17.0
03:01:21,200;17.0
03:01:24,600;17.0
03:02:02,100;18.0
03:02:34,400;19.0
03:02:35,300;19.0
03:02:51,800;20.0
03:02:52,100;20.0
03:02:52,700;20.0
03:02:57,300;20.0
03:03:53,200;22.0
03:03:54,600;22.0
03:04:03,0;22.0
03:04:58,900;24.0
03:05:12,900;25.0
03:05:29,400;25.0
03:05:41,900;26.0
03:06:08,500;26.0
03:06:27,700;27.0
03:07:10,500;29.0
03:07:13,600;29.0
03:07:18,0;29.0
03:08:44,700;30.0
03:09:08,500;30.0
03:09:12,0;30.0
03:09:26,700;30.0
03:11:18,400;30.0
03:11:35,500;30.0
03:11:52,500;30.0
03:12:34,700;30.0
03:12:53,800;30.0
03:13:05,300;30.0
03:13:27,800;30.0
03:13:52,200;30.0
03:13:53,200;30.0
03:14:27,0;30.0
03:14:46,500;30.0
03:14:47,300;30.0
03:14:53,100;30.0
03:15:10,400;30.0
03:15:28,0;30.0
03:16:13,400;30.0
03:16:18,900;30.0
03:16:19,500;30.0
03:16:20,100;30.0
03:16:34,500;30.0
03:17:01,700;30.0
03:17:02,200;30.0
03:17:11,0;30.0
03:17:13,500;30.0
03:17:15,400;30.0
03:17:16,400;30.0
03:17:18,200;30.0
03:17:19,0;30.0
03:17:24,700;30.0
03:17:42,100;30.0
03:19:12,800;30.0
03:19:17,100;30.0
03:19:19,0;30.0
03:19:19,200;30.0
03:19:19,900;30.0
03:19:21,600;30.0
03:19:42,400;30.0
03:20:13,800;30.0
03:20:28,700;30.0
03:20:38,600;30.0
03:20:41,600;30.0
03:20:46,700;30.0
03:20:48,200;30.0
03:21:10,600;30.0
03:21:11,700;30.0
03:21:11,900;30.0
03:21:15,900;30.0
03:21:16,500;30.0
03:21:41,100;30.0
03:22:26,600;30.0
03:23:32,900;30.0
03:23:39,500;30.0
03:23:58,700;30.0
03:24:02,600;30.0
03:24:13,500;30.0
03:24:14,700;30.0
03:24:35,600;30.0
03:24:37,400;30.0
03:25:16,900;30.0
03:25:17,900;30.0
03:25:18,400;30.0
03:25:38,400;30.0
03:25:41,0;30.0
03:25:58,100;30.0
03:25:58,700;30.0
03:26:03,800;30.0
03:26:49,300;30.0
03:27:31,200;30.0
03:28:07,900;30.0
03:28:13,100;30.0
03:28:29,100;30.0
03:28:32,0;30.0
03:29:21,900;30.0
03:29:28,100;30.0
03:29:28,400;30.0
03:29:31,500;30.0
03:29:31,700;30.0
03:29:51,900;30.0
03:30:07,300;30.0
03:31:08,900;30.0
03:31:34,300;30.0
03:31:43,300;30.0
03:31:58,300;30.0
03:33:17,700;30.0
03:33:30,600;30.0
03:33:34,800;30.0
03:33:38,700;30.0
03:34:05,200;30.0
03:34:13,300;30.0
03:34:13,900;30.0
03:34:23,600;30.0
03:34:24,200;30.0
03:35:00,900;30.0
03:36:24,300;30.0
03:36:25,100;30.0
03:36:28,500;30.0
03:37:18,700;30.0
03:37:22,200;30.0
03:37:34,700;30.0
03:37:58,700;30.0
03:38:56,0;30.0
03:38:57,500;30.0
03:38:59,400;30.0
03:39:26,100;30.0
03:39:26,700;30.0
03:39:27,100;30.0
03:40:09,600;30.0
03:40:39,300;30.0
03:40:45,900;30.0
03:41:09,700;30.0
03:41:40,800;30.0
03:42:05,300;30.0
03:42:16,700;30.0
03:43:21,200;30.0
03:44:04,500;30.0
03:44:07,300;30.0
03:44:17,800;30.0
03:45:22,100;30.0
03:45:42,700;29.0
03:45:44,300;29.0
03:46:29,0;28.0
03:46:30,300;28.0
03:46:33,900;27.0
03:46:35,400;27.0
03:47:06,200;26.0
03:47:15,800;26.0
03:47:17,500;25.0
03:48:38,100;25.0
03:48:38,700;24.0
03:48:41,200;23.0
03:48:42,200;22.0
03:49:01,400;21.0
03:49:05,600;20.0
03:49:06,500;20.0
03:49:43,500;19.0
03:50:51,900;18.0
03:50:53,0;17.0
03:52:24,0;16.0
03:52:24,600;15.0
03:53:03,900;14.0
03:53:44,800;13.0
03:53:46,0;12.0
03:54:29,900;11.0
03:54:31,200;10.0
03:54:50,800;9.0
03:55:03,400;8.0
03:55:11,300;7.0
03:55:11,800;6.0
03:55:13,500;5.0
03:55:33,400;4.0
03:55:46,400;3.0
03:56:16,400;2.0
04:09:17,200;1.0
